Attribute,Baseline t,Baseline C'd,Baseline p,Baseline Acc,Alpha,Soft-Debias t,Soft-Debias C'd,Soft-Debias p,Soft-Debias Acc,Hard-Debias t,Hard-Debias C'd,Hard-Debias p,Hard-Debias Acc
5_o_Clock_Shadow,26.557266948880255,0.18787600878377686,5.311807611483065e-154,99.05094905094906,0.9125733264799452,-1.6737450804246583,-0.012491049510323135,0.09418821177184879,99.03596403596404,-90.42613335364449,-1.3415348914469545,0.0,90.15484515484515
Arched_Eyebrows,-1.454243606316844,-0.03451047582423975,0.14600666528253547,99.05094905094906,0.37746440333724596,-1.3811373272207093,-0.03269646575557901,0.1673624341025077,99.06593406593407,57.019529932219186,0.7375358158439491,0.0,88.36663336663337
Attractive,5.532674727622056,0.053495388589155125,3.182333763570368e-08,99.05094905094906,0.2976580103626446,5.621012941715303,0.054323109992150835,1.9166327342300297e-08,99.05094905094906,84.89936934386714,0.6594482604930362,0.0,95.85414585414586
Bags_Under_Eyes,9.978318528759235,0.09255876280780195,2.0253163826388874e-23,99.05094905094906,0.9008286067256057,-2.1129757672579563,-0.0203160133780561,0.03460984118500695,99.04095904095904,-67.6949256028649,-0.8000587181020934,0.0,92.12287712287713
Bald,15.455864401484384,0.14681740134300436,1.588222324113945e-52,99.05094905094906,0.7995982879237556,-2.0142757294549525,-0.025820660959280223,0.044065253889173726,99.06093906093906,-47.73838166402893,-2.129442765695051,0.0,98.39160839160839
Bangs,-9.92374721635858,-0.24897539322491227,6.174942285858602e-23,99.05094905094906,0.995855541501451,-1.2819422134666598,-0.025279317199478818,0.19993569911584233,98.87612387612388,-1.2687829495023788,-0.025015164019815336,0.2045908065072352,98.87612387612388
Big_Lips,-5.013833970929605,-0.08308539557308049,5.453894515005744e-07,99.05094905094906,0.919232423752947,0.9452739771958765,0.014563519607767018,0.3445472473682465,99.02097902097901,4.825897280380356,0.07004852103142671,1.4182387448318134e-06,98.83616383616383
Big_Nose,10.686778532817812,0.10033595200054986,1.2702443178502347e-26,99.05094905094906,0.8953102283503291,-0.7373953463056343,-0.007037885089388406,0.46088612999601664,99.07092907092907,-84.99225739310327,-0.91729792109686,0.0,90.41958041958041
Black_Hair,3.7941401746094456,0.03813436239264936,0.00014847889085673607,99.05094905094906,0.6512558622047159,2.8875285343994785,0.02919647386027469,0.0038859388735293264,99.04595404595405,-5.3671059349068235,-0.05731850695017831,8.076957784536457e-08,98.96603396603396
Blond_Hair,-6.491983266925686,-0.4492915803051776,1.4275972145778757e-10,99.05094905094906,0.997568674576754,-1.777145227613135,-0.08957919257364164,0.07589317743588676,98.88111888111888,-1.7743813035113614,-0.08943144937768284,0.07634927132242227,98.88111888111888
Blurry,-8.72741847101672,-0.3022051046962188,4.623086674963035e-18,99.05094905094906,0.14586469825296458,-8.767652521926491,-0.30366111163817183,3.2708356245441456e-18,99.06093906093906,-11.491677845235067,-0.4256778031601358,7.877899921453082e-30,99.05094905094906
Brown_Hair,0.12504081913938553,0.0016732904177814228,0.9004940487045585,99.05094905094906,0.1856231584476996,0.15799064819088632,0.0021133184084167075,0.874467737705039,99.05594405594405,7.241111098671785,0.0878253250800607,4.783697467027805e-13,99.01098901098902
Bushy_Eyebrows,12.68758768479894,0.10989960675611114,8.540808302704423e-37,99.05094905094906,0.8659410153403936,0.8157486653553586,0.007480343025299274,0.41465107375252597,99.06593406593407,-37.66661894965379,-0.5172138035212734,2.8554790362016157e-295,98.38661338661339
Chubby,7.538926941332318,0.0901889465089203,5.273655188834517e-14,99.05094905094906,0.8190495658066956,0.26094188936089047,0.003320305833023125,0.7941446612857925,99.06093906093906,-47.11903970154068,-1.2355957786184193,0.0,97.67732267732268
Double_Chin,11.647791170227048,0.12228752372834664,4.4289553207767836e-31,99.05094905094906,0.8543596164555443,-1.1004355259945593,-0.013026423393976385,0.27118424027404897,99.06093906093906,-46.07498020678049,-1.3402116271231133,0.0,97.72727272727273
Eyeglasses,0.10809530992380989,0.0016524810712919213,0.9139233810554989,99.05094905094906,0.0815704041962138,0.03288756439489957,0.000503423604797543,0.9737652469131575,99.06093906093906,-33.15448934083401,-0.7867646596388137,4.066917328351064e-220,98.81618381618381
Goatee,28.458324653313408,0.17615626570209433,1.8444182425827403e-176,99.05094905094906,0.8450593707324753,0.26074022661934115,0.00194809272201829,0.7942948798324226,99.05094905094906,-61.1402942237517,-1.4321172321904292,0.0,96.96803196803197
Gray_Hair,7.135058878957224,0.0933222984049831,1.1003779261786056e-12,99.05094905094906,0.8153266864837375,-0.5560597965513187,-0.00801265856952148,0.5781956166855244,99.06093906093906,-37.28462471626049,-0.9012348022157978,2.29189114903789e-261,98.87112887112886
Heavy_Makeup,-5.783798541175596,-1.3779132781807024,5.830274908637511e-08,99.05094905094906,0.6453092069784689,-5.677728043812411,-1.3005726754788225,9.532570145661956e-08,99.06093906093906,3.852997671828161,0.37680861385894526,0.00018772727969010357,77.5924075924076
High_Cheekbones,4.349747726646029,0.043356070301708176,1.3676699452475805e-05,99.05094905094906,0.0805543742671777,4.364885797983409,0.043500257727979705,1.2763608704644589e-05,99.05094905094906,22.222260192001908,0.20211367686463905,1.1414550732820377e-108,98.98101898101898
Mouth_Slightly_Open,-0.24566772872135992,-0.002415579758836421,0.8059407493563245,99.05094905094906,0.4930361494507155,0.36434932672328807,0.0035760405544726604,0.7155991353322968,99.06593406593407,8.035787811183447,0.07733236036423491,9.5432977384557e-16,99.06593406593407
Mustache,27.52572407692671,0.16691823652767884,4.224212457848958e-165,99.05094905094906,0.834631615662375,0.6413470938634762,0.005132783693229709,0.5213090924348205,99.05094905094906,-54.00437015618606,-1.5611847965955106,0.0,96.6983016983017
Narrow_Eyes,-2.443452198620956,-0.04016819426755429,0.014575216955423471,99.05094905094906,0.9791657387860258,-3.441277351933006,-0.057823105059782484,0.0005828409263647788,99.06593406593407,-3.4455806623695593,-0.05790534957939245,0.0005736571218961973,99.06593406593407
No_Beard,-26.605484266754946,-0.2207336561508072,3.1178977648365996e-154,99.05094905094906,0.9046712325299221,1.030257207704954,0.008736957297577464,0.3028964107641535,99.05594405594405,140.10460826258102,1.6387625870850098,0.0,90.26973026973027
Oval_Face,9.255866658988822,0.08830269608070866,2.3160902921487087e-20,99.05094905094906,0.34892760523939154,9.32596051300565,0.08895844803882594,1.2018250835683043e-20,99.05094905094906,21.53126947158961,0.1896276140915982,5.990304597632082e-102,98.8961038961039
Pale_Skin,-5.279892408689771,-0.2721940617656503,1.5658097050521938e-07,99.05094905094906,0.9929204127096368,-2.92225683077569,-0.12726160064089062,0.003547782175118018,98.95104895104895,-2.914280796438158,-0.12691438862771162,0.003638966259724466,98.94605394605395
Pointy_Nose,3.449381579510161,0.041584368992329555,0.0005640435797284814,99.05094905094906,0.1260250057505856,3.521170250427767,0.042426622073784816,0.00043143870776996695,99.05594405594405,33.06836372738333,0.31332833807941685,8.462676324616181e-232,97.40259740259741
Receding_Hairline,1.6562352163225933,0.026006366912345757,0.0977253077799233,99.05094905094906,0.7076915241427375,-0.03003648359602254,-0.0004805787573876456,0.9760389431451478,99.05594405594405,-15.017690094716844,-0.2698190626660612,4.941405689647095e-50,99.04095904095904
Rosy_Cheeks,-0.30903023847533995,-0.02743470609533993,0.7577864994230913,99.05094905094906,0.5970990170508438,-0.05448242675607293,-0.004377553924394829,0.95663319754101,99.06093906093906,8.550788404926353,0.34019236851835694,2.3347330274684782e-14,98.42657342657343
Sideburns,28.83337134849517,0.17488427901113063,4.835894726974262e-181,99.05094905094906,0.8421290444599044,-0.634018300159973,-0.004730253415290946,0.5260751505974888,99.06093906093906,-53.964593803940126,-1.384060712696745,0.0,97.42757242757243
Smiling,7.819447475808356,0.0737495121066798,5.431078151966996e-15,99.05094905094906,0.11413519207257586,7.85781521894182,0.07410147365422654,4.003185761701052e-15,99.05594405594405,18.0243417848783,0.16449825189797734,2.360069475869653e-72,99.06593406593407
Straight_Hair,5.2903890096120465,0.05385826634438921,1.232804302776369e-07,99.05094905094906,0.9966029876828836,-0.518183004550857,-0.0055155661879800946,0.6043365574707824,99.01098901098902,-0.500287308695099,-0.005324707619623559,0.6168785175223481,99.005994005994
Wavy_Hair,-5.82295931327981,-0.09506552352251729,6.025176616004888e-09,99.05094905094906,0.8848004013564997,0.5990800092094709,0.008999882862581009,0.5491371132084004,99.07092907092907,25.620757481466505,0.3032856722206644,4.719041565556314e-140,97.66233766233766
Wearing_Earrings,-6.255082631730573,-0.5657059055853242,7.200147941696607e-10,99.05094905094906,0.9796180076956241,0.4721333906337006,0.02833376442089231,0.6369886857708884,96.78321678321679,5.23776793329584,0.2328382978654749,2.1854982875780474e-07,93.72627372627372
Wearing_Hat,-4.047605144398099,-0.08471721632019354,5.276026783193722e-05,99.05094905094906,0.28100209628183703,-4.2713232826408225,-0.09006020767596609,1.9901505734917206e-05,99.05594405594405,-26.70972125050398,-0.784449928448232,1.4576316079894169e-143,98.98101898101898
Wearing_Lipstick,-7.200632168895326,-1.13520928049131,6.270422048441732e-12,99.05094905094906,0.23610131433457698,-7.101351178264745,-1.1191407397066244,1.1490706023899249e-11,99.06093906093906,9.998645245755267,0.5890843310542054,3.391066416864481e-20,66.30869130869131
Wearing_Necklace,-5.657465651847941,-0.3554615550784218,2.188070920169545e-08,99.05094905094906,0.966937078716349,1.938814102524571,0.09868447820997968,0.05289738455645926,98.88111888111888,27.2510454362539,0.7376587073095208,7.741869933944518e-116,84.32567432567433
Wearing_Necktie,24.79975332499736,0.1694227828540542,9.565702215235884e-135,99.05094905094906,0.8721090477781568,-1.717710809392586,-0.012886009663347141,0.08585929683363741,99.07592407592406,-87.80822993791593,-1.7587125186024506,0.0,94.42057942057941
Young,-6.683348918179682,-0.06485222571003364,2.369474566847591e-11,99.05094905094906,0.8496175335197714,-0.18767322898245598,-0.0018518591362333763,0.851133926413671,99.07092907092907,34.61134222426422,0.37946195672245997,1.844597307544903e-256,98.7962037962038
